id,name,account,card,features,news
9,Ayumi,"{'id': 12, 'number': '00003-03', 'agency': '0001', 'balance': 0.0, 'limit': 1000.0}","{'id': 9, 'number': '**** **** **** 0003', 'limit': 1000.0}",[],"[{'id': 130, 'icon': '🤑', 'description': None}, {'id': 138, 'icon': '🤑', 'description': None}, {'id': 146, 'icon': '🤑', 'description': 'Ayumi, Não espere. Invista agora e garanta seu amanhã.'}, {'id': 154, 'icon': '🤑', 'description': 'Ayumi, Investir é cuidar do seu futuro financeiro.'}, {'id': 240, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 241, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}]"
116,Maria,"{'id': 123, 'number': '333-5', 'agency': '0001', 'balance': 0.0, 'limit': 500.0}","{'id': 114, 'number': '**** **** **** 3456', 'limit': 1000.0}",[],"[{'id': 242, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 243, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}]"
1,Devweekerson,"{'id': 1, 'number': '01.097954-4', 'agency': '2030', 'balance': 624.12, 'limit': 1000.0}","{'id': 1, 'number': 'xxxx xxxx xxxx 1111', 'limit': 2000.0}","[{'id': 2, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/pay.svg', 'description': 'Pagar'}, {'id': 3, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/transfer.svg', 'description': 'Transferir'}, {'id': 4, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/account.svg', 'description': 'Conta Corrente'}, {'id': 5, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/cards.svg', 'description': 'Cartões'}, {'id': 1, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/pix.svg', 'description': 'PIX'}]","[{'id': 1, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'O Santander tem soluções de crédito sob medida pra você. Confira!'}, {'id': 2, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/insurance.svg', 'description': 'Santander Seguro Casa, seu faz-tudo. Mais de 50 serviços pra você. Confira!'}]"
11,anguile,"{'id': 18, 'number': '00010-4', 'agency': '2003', 'balance': 500.0, 'limit': 1000.0}","{'id': 11, 'number': '01123', 'limit': 500.0}","[{'id': 8, 'icon': 'string', 'description': 'string'}]","[{'id': 22, 'icon': 'string', 'description': 'string'}, {'id': 120, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/insurance.svg', 'description': 'Investir é garantir um futuro financeiro sólido. Não deixe seu dinheiro parado!'}, {'id': 246, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 247, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}]"
12,Ronaldo,"{'id': 19, 'number': '00001-4', 'agency': '0032', 'balance': 0.0, 'limit': 500.0}","{'id': 12, 'number': '**** **** **** 2313', 'limit': 1000.0}","[{'id': 9, 'icon': 'string', 'description': 'string'}]","[{'id': 23, 'icon': 'string', 'description': 'string'}, {'id': 121, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/insurance.svg', 'description': 'Invista no seu futuro e garanta a segurança financeira.'}, {'id': 248, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 249, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}]"
13,anguile,"{'id': 20, 'number': '00010-8', 'agency': '2003', 'balance': 500.0, 'limit': 1000.0}","{'id': 13, 'number': '**** **** **** 0112', 'limit': 500.0}","[{'id': 10, 'icon': 'string', 'description': 'string'}]","[{'id': 24, 'icon': 'string', 'description': 'string'}, {'id': 122, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/insurance.svg', 'description': 'Invista seu dinheiro com sabedoria e garanta um futuro promissor.'}, {'id': 250, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 251, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}]"
14,Maria,"{'id': 21, 'number': '00110-2', 'agency': '2003', 'balance': 500.0, 'limit': 1000.0}","{'id': 14, 'number': '**** **** **** 0322', 'limit': 500.0}","[{'id': 11, 'icon': 'string', 'description': 'string'}]","[{'id': 25, 'icon': 'string', 'description': 'string'}, {'id': 252, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 253, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}]"
15,Pyterson,"{'id': 22, 'number': '0001-1', 'agency': '0001', 'balance': 0.0, 'limit': 500.0}","{'id': 15, 'number': '1234 1234 1234 1111', 'limit': 1000.0}",[],"[{'id': 51, 'icon': 'https://digitalinnovationone.github.io/santander-dev-week-2023-api/icons/credit.svg', 'description': 'Invista hoje, colha amanhã! #FuturoBrilhante'}, {'id': 132, 'icon': '🤑', 'description': None}, {'id': 140, 'icon': '🤑', 'description': None}, {'id': 148, 'icon': '🤑', 'description': 'Pyterson, O futuro é hoje: invista para colher amanhã.'}, {'id': 156, 'icon': '🤑', 'description': 'Pyterson, Invista hoje, desfrute no futuro.'}, {'id': 254, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 255, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}]"
16,Pip,"{'id': 23, 'number': '0002-2', 'agency': '0001', 'balance': 0.0, 'limit': 500.0}","{'id': 16, 'number': '1234 1234 1234 2222', 'limit': 1000.0}",[],"[{'id': 256, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 257, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}]"
17,Pep,"{'id': 24, 'number': '0003-3', 'agency': '0001', 'balance': 0.0, 'limit': 500.0}","{'id': 17, 'number': '1234 1234 1234 3333', 'limit': 1000.0}",[],"[{'id': 258, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}, {'id': 259, 'icon': 'https://images.genius.com/31fac7e2bef0ff83f25dbd8077863794.1000x1000x1.jpg', 'description': 'Eduardo esteve aqui'}]"
